 Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
"Animation, Adventure, Family",8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",125 min,Spirited Away,97
"Action, Adventure, Sci-Fi",7.7,"The Rebellion makes a risky move to steal the plans for the Death Star, setting up the epic saga to follow.",133 min,Rogue One: A Star Wars Story,N/A
"Biography, Crime, Drama",7.9,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",147 min,Straight Outta Compton,87
"Adventure, Family, Fantasy",6.5,"A girl named Sophie encounters the Big Friendly Giant who, despite his intimidating appearance, turns out to be a kind-hearted soul who is considered an outcast by the other giants because, unlike them, he refuses to eat children.",117 min,The BFG,75
"Crime, Drama, Thriller",8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,151 min,The Departed,91
"Drama, Mystery, Thriller",7.5,An exceptionally adept Florida lawyer is offered a job to work in New York City for a high-end law firm with a high-end boss - the biggest opportunity of his career to date.,144 min,The Devil's Advocate,67
"Adventure, Comedy, Drama",8.1,"The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",99 min,The Grand Budapest Hotel,92
"Crime, Drama, Mystery",7.9,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",187 min,The Hateful Eight,75
"Drama, Mystery, Romance",7.6,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",110 min,The Illusionist,74
"Biography, Crime, Drama",7.1,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,127 min,The Infiltrator,69
"Action, Mystery, Sci-Fi",6.8,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",113 min,The Maze Runner,65
"Comedy, Drama, Romance",6.7,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.,108 min,The Proposal,44
"Adventure, Drama, Thriller",8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,156 min,The Revenant,82
"Drama, Horror",N/A,A young woman finds herself on the receiving end of a terrifying curse that threatens to take her life in 7 days.,N/A,Rings,N/A
"Action, Comedy, Sci-Fi",7.0,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,109 min,The World's End,89
"Drama, Horror, Sci-Fi",6.3,A mysterious woman seduces lonely men in the evening hours in Scotland. Events lead her to begin a process of self-discovery.,108 min,Under the Skin,85
"Animation, Adventure, Comedy",8.3,"Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",96 min,Up,98
"Comedy, Fantasy, Horror",7.6,"A documentary team films the lives of a group of vampires for a few months. The vampires share a house in Wellington, New Zealand. Turns out vampires have their own domestic problems too.",86 min,What We Do in the Shadows,96
Talk-Show,N/A,"Film Flickers take a look at the latest entry in the X-MEN series, Apocalypse.",N/A,X-MEN Apocalypse,N/A
"Action, Crime, Drama",7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,141 min,I Saw the Devil,80
"Animation, Adventure, Comedy",6.6,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",87 min,The Secret Life of Pets,75
