Genre,IMDB Rating,Plot,Run Time,Title,Tomatometer
"Drama, History, Thriller",7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",142 min,Bridge of Spies,N/A
"Biography, Crime, Drama",8.0,"The true story of Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars' worth of checks as a Pan Am pilot, doctor, and legal prosecutor.",141 min,Catch Me If You Can,N/A
"Drama, Mystery",8.4,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",119 min,Citizen Kane,N/A
"Drama, Sci-Fi, Thriller",8.1,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",113 min,Donnie Darko,N/A
"Adventure, Family, Fantasy",7.6,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,133 min,Fantastic Beasts and Where to Find Them,N/A
N/A,7.4,N/A,N/A,Fantastic Mr Fox: T4 Movie Special,N/A
"Drama, Mystery, Thriller",6.6,A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life.,112 min,The Girl on the Train,N/A
"Action, Adventure, Drama",8.5,"When a Roman general is betrayed and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.",155 min,Gladiator,N/A
"Biography, Crime, Drama",8.7,Henry Hill and his friends work their way up through the mob hierarchy.,146 min,Goodfellas,N/A
"Horror, Mystery, Thriller",6.7,"Twin boys move to a new home with their mother after she has face changing cosmetic surgery, but under her bandages is someone the children don't recognize.",99 min,Goodnight Mommy,N/A
"Drama, History, War",8.2,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139 min,Hacksaw Ridge,N/A
"Crime, Drama, Western",7.7,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,102 min,Hell or High Water,N/A
"Adventure, Drama, Family",7.5,"In Paris in 1931, an orphan named Hugo Cabret who lives in the walls of a train station is wrapped up in a mystery involving his late father and an automaton.",126 min,Hugo,N/A
"Adventure, Drama, War",8.3,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",153 min,Inglourious Basterds,N/A
"Horror, Mystery, Thriller",6.8,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.,103 min,Insidious,N/A
"Comedy, Drama, Music",8.4,A jazz pianist falls for an aspiring actress in Los Angeles.,128 min,La La Land,N/A
"Drama, Horror, Mystery",7.2,A bullied young boy befriends a young female vampire who lives in secrecy with her guardian.,116 min,Let Me In,N/A
"Horror, Thriller",6.2,A young couple take in their two nieces only to suspect that a foreboding evil has latched itself to their family.,100 min,Mama,N/A
Drama,8.1,An uncle is asked to take care of his teenage nephew after the boy's father dies.,137 min,Manchester by the Sea,N/A
"Animation, Comedy, Drama",8.2,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",92 min,Mary and Max,N/A
"Adventure, Drama, Mystery",6.7,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers.",112 min,Midnight Special,N/A
"Horror, Mystery",6.2,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,110 min,Mirrors,N/A
"Animation, Fantasy, Horror",8.4,"A mysterious man called the Medicine Seller travels along feudal Japan, uncovering and slaying evil spirits called ""Mononoke"".",25 min,Mononoke,N/A
"Drama, Mystery, Sci-Fi",7.9,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",97 min,Moon,N/A
"Drama, Mystery, Thriller",8.0,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",147 min,Mulholland Drive,N/A
"Animation, Comedy",7.9,"After losing his mother, a young boy is sent to a foster home with other orphans his age where he begins to learn the meaning of trust and true love.",70 min,My Life as a Zucchini,N/A
"Fantasy, Horror",8.0,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,81 min,Nosferatu,N/A
"Drama, Mystery, Thriller",8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",120 min,Oldboy,N/A
"Animation, Drama, Romance",7.7,A 27-year-old office worker travels to the countryside while reminiscing about her childhood in Tôkyô.,118 min,Only Yesterday,N/A
"Horror, Mystery, Thriller",7.0,A husband and wife who recently lost their baby adopt a nine year-old girl who is not nearly as innocent as she claims to be.,123 min,Orphan,N/A
"Adventure, Family, Fantasy",6.8,"The adventures of an orphaned boy named Pete and his best friend Elliot, who just so happens to be a dragon.",103 min,Pete's Dragon,N/A
"Action, Adventure, Fantasy",8.0,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",143 min,Pirates of the Caribbean: The Curse of the Black Pearl,N/A
"Fantasy, Horror, Thriller",7.4,A family's home is haunted by a host of ghosts.,114 min,Poltergeist,N/A
"Animation, Adventure, Comedy",7.2,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.",107 min,Rango,N/A
"Drama, Horror",8.0,"A young couple move into an apartment, only to be surrounded by peculiar neighbors and occurrences. When the wife becomes mysteriously pregnant, paranoia over the safety of her unborn child begins to control her life.",137 min,Rosemary's Baby,N/A
Talk-Show,N/A,Film Flickers take a look at the action comedy Scott Pilgrim vs The World.,N/A,Scott Pilgrim vs the World,N/A
"Crime, Drama, Thriller",7.1,A young woman's world unravels when a drug prescribed by her psychiatrist has unexpected side effects.,106 min,Side Effects,N/A
"Adventure, Drama, History",7.4,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.",161 min,Silence,N/A
"Drama, Thriller, War",7.5,"In the horror of 1944 Auschwitz, a prisoner forced to burn the corpses of his own people finds moral survival upon trying to salvage from the flames the body of a boy he takes for his son.",107 min,Son of Saul,N/A
"Horror, Thriller",7.5,"Three girls are kidnapped by a man with a diagnosed 23 distinct personalities, they must try to escape before the apparent emergence of a frightful new 24th.",117 min,Split,N/A
"Animation, Adventure, Comedy",6.9,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby.",87 min,Storks,N/A
Horror,6.9,"A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",86 min,The Autopsy of Jane Doe,N/A
"Adventure, Family, Fantasy",6.4,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",117 min,The BFG,N/A
"Biography, Comedy, Drama",7.8,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",130 min,The Big Short,N/A
"Horror, Mystery",6.4,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",81 min,The Blair Witch Project,N/A
"Drama, Fantasy, Romance",7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",166 min,The Curious Case of Benjamin Button,N/A
"Biography, Crime, Drama",7.1,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,127 min,The Infiltrator,N/A
"Horror, Thriller",6.3,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",118 min,The Neon Demon,N/A
"Horror, Mystery",5.4,"Six months after the incidents involving the lethal videotape, new clues prove that there is a new evil lurking in the darkness.",110 min,The Ring Two,N/A
"Crime, Drama, Thriller",8.6,A young F.B.I. cadet must confide in an incarcerated and manipulative killer to receive his help on catching another serial killer who skins his victims.,118 min,The Silence of the Lambs,N/A
Horror,7.0,"As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.",84 min,Under the Shadow,N/A
"Comedy, Drama, Romance",N/A,"Upon learning that the love of his life from long ago has Alzheimer's, an elderly widower fakes his way into her nursing home to be with her.",N/A,Remember Me,N/A
"Horror, Drama",6.0,"A staircase leading to the dormitory of a remote boarding school usually has 28 stairs, but every so often there appears to be 29. When someone steps on the mysterious extra stair, the horror begins",97 min,Wishing Stairs,N/A
